Bob Algo result 

Requete ;requete_1.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.00945591926574707

Résultat de la reconnaissance :
Position;Fichier;Distance
1;tasse_5.png;0.23167767
1;tasse_3.png;0.28555393
1;pomme_2.png;0.41503364
1;banane_2.png;0.5420467
1;planchesurf_5.png;0.653679
1;banane_4.png;0.83889043
1;pomme_1.png;0.89049935
1;banane_3.png;1.0657598
1;zebre_3.png;1.2605082
1;pomme_3.png;1.4349706
1;plancheneige_5.png;1.5803723
1;tasse_4.png;1.7309583
1;plancheneige_2.png;1.7591724
1;planchesurf_2.png;1.8934323
1;plancheneige_1.png;1.9984969
1;tasse_2.png;2.0349755
1;zebre_5.png;2.181535
1;planchesurf_3.png;2.260714
1;planchesurf_4.png;2.3357642
1;plancheneige_3.png;2.447145
1;zebre_2.png;2.5189676
1;pomme_4.png;2.6356308
1;plancheneige_4.png;2.6654768
1;zebre_4.png;2.7625155
1;zebre_1.png;2.8393865
1;planchesurf_1.png;2.855703
1;tasse_1.png;2.8715239
1;banane_1.png;2.8870559
1;banane_5.png;3.957347
1;pomme_5.png;19.193169

Top 3 :
Position;Fichier;Distance
1;tasse_5.png;0.23167767
1;tasse_3.png;0.28555393
1;pomme_2.png;0.41503364

Résultat obtenu ;tasse
Résultat attendu ;pomme
Test OK ;False

Requete ;requete_2.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.008070230484008789

Résultat de la reconnaissance :
Position;Fichier;Distance
1;plancheneige_1.png;0.15140428
1;zebre_5.png;0.31098342
1;pomme_3.png;0.3253831
1;planchesurf_1.png;0.53904694
1;planchesurf_5.png;0.75748426
1;banane_4.png;0.77160853
1;pomme_2.png;0.8862607
1;tasse_3.png;1.1255951
1;banane_5.png;1.2056653
1;tasse_5.png;1.2754643
1;banane_2.png;1.4543498
1;pomme_1.png;1.658525
